bookname,n,k,m,count1,count2,count3,user,sys,real
madame-bovary,112972,4,100000,1796279,1686426,103422,312.0,8.0,485.0
madame-bovary,112972,4,500000,1796279,655777,40797,176.0,12.0,319.0
madame-bovary,112972,5,1000,1796279,16856,1001,116.0,4.0,1463.0
madame-bovary,112972,5,10000,1796279,168652,10057,156.0,0.0,434.0
madame-bovary,112972,5,100000,1796279,229872,13736,136.0,0.0,194.0
madame-bovary,112972,5,500000,1796279,8431781,502172,1296.0,24.0,2849.0
madame-bovary,112972,6,1000,1796279,16856,1000,108.0,4.0,728.0
madame-bovary,112972,6,10000,1796279,168659,10014,144.0,0.0,487.0
madame-bovary,112972,6,100000,1796279,1113438,66138,268.0,12.0,491.0
madame-bovary,112972,6,500000,1796279,2763331,164307,456.0,20.0,4618.0
madame-bovary,112972,7,1000,1796279,16856,1000,116.0,8.0,384.0
madame-bovary,112972,7,10000,1796279,168693,10000,132.0,0.0,258.0
madame-bovary,112972,7,100000,1796279,1129687,67044,264.0,4.0,407.0
madame-bovary,112972,7,500000,1796279,852541,50631,212.0,12.0,341.0
zadig,26046,2,1000,349642,14749,4396,24.0,0.0,72.0
zadig,26046,2,10000,349642,5131,1320,24.0,0.0,69.0
zadig,26046,2,100000,349642,12780,2992,20.0,0.0,29.0
zadig,26046,2,500000,349642,29613,8523,16.0,8.0,33.0
zadig,26046,3,1000,349639,14742,1098,24.0,0.0,75.0
zadig,26046,3,10000,349639,147474,11092,36.0,0.0,101.0
zadig,26046,3,100000,349639,230880,17344,36.0,8.0,79.0
zadig,26046,3,500000,349639,47664,3560,24.0,0.0,30.0
zadig,26046,4,1000,349638,14732,1009,24.0,0.0,233.0
zadig,26046,4,10000,349638,147408,10160,36.0,0.0,156.0
zadig,26046,4,100000,349638,215767,14850,44.0,0.0,91.0
zadig,26046,4,500000,349638,140506,9691,36.0,0.0,50.0
zadig,26046,5,1000,349638,14735,1001,24.0,0.0,62.0
zadig,26046,5,10000,349638,147397,10061,40.0,0.0,111.0
zadig,26046,5,100000,349638,58897,4012,28.0,4.0,55.0
zadig,26046,5,500000,349638,369631,25180,64.0,0.0,582.0
zadig,26046,6,1000,349638,14735,1000,20.0,0.0,36.0
zadig,26046,6,10000,349638,84253,5719,32.0,0.0,54.0
zadig,26046,6,100000,349638,348198,23648,64.0,8.0,247.0
zadig,26046,6,500000,349638,84253,5719,24.0,8.0,239.0
zadig,26046,7,1000,349638,14735,1000,24.0,0.0,143.0
zadig,26046,7,10000,349638,91016,6176,28.0,4.0,71.0
zadig,26046,7,100000,349638,91016,6176,44.0,0.0,4245.0
zadig,26046,7,500000,349638,91016,6176,32.0,0.0,77.0
don-quixote,404461,2,1000,7024485,18713,73100,408.0,20.0,664.0
don-quixote,404461,2,10000,7024485,187177,752858,420.0,16.0,574.0
don-quixote,404461,2,100000,7024485,1781801,6984873,1176.0,48.0,2994.0
don-quixote,404461,2,500000,7024485,5401689,21354905,2636.0,68.0,7723.0
don-quixote,404461,3,1000,7024519,18715,3291,452.0,12.0,787.0
don-quixote,404461,3,10000,7024519,187093,34819,400.0,12.0,480.0
don-quixote,404461,3,100000,7024519,1870103,336418,740.0,20.0,1765.0
don-quixote,404461,3,500000,7024519,3282850,588938,868.0,28.0,1566.0
don-quixote,404461,4,1000,7024518,18721,1447,444.0,8.0,1226.0
don-quixote,404461,4,10000,7024518,187111,12894,480.0,12.0,1295.0
don-quixote,404461,4,100000,7024518,1870453,128867,684.0,20.0,2451.0
don-quixote,404461,4,500000,7024518,594543,40182,584.0,12.0,3054.0
don-quixote,404461,5,1000,7024519,18696,1059,432.0,12.0,1278.0
don-quixote,404461,5,10000,7024519,186969,10396,468.0,4.0,746.0
don-quixote,404461,5,100000,7024519,1870540,105732,700.0,8.0,1675.0
don-quixote,404461,5,500000,7024519,7532504,425390,1500.0,68.0,4280.0
don-quixote,404461,6,1000,7024520,18696,1007,440.0,0.0,1106.0
don-quixote,404461,6,10000,7024520,187063,10121,468.0,12.0,977.0
don-quixote,404461,6,100000,7024520,1870269,101498,692.0,24.0,1322.0
don-quixote,404461,6,500000,7024520,9352103,507657,1864.0,92.0,4369.0
don-quixote,404461,7,1000,7024521,18694,1003,456.0,8.0,657.0
don-quixote,404461,7,10000,7024521,187033,10070,456.0,8.0,1185.0
don-quixote,404461,7,100000,7024521,1189379,64278,656.0,32.0,1487.0
